Codigo;Escola;IDE_Medio_EF
23079614;POVO PITAGUARI EMIEB;1.4
23079622;ANTONIO GONDIM DE LIMA EMEIEF;2.7
23079835;CARLOS JEREISSATI SEN EMEIEF;3.6
23079894;CESAR CALS DE OLIVEIRA FILHO GOVERNADOR EMEIEF;2.1
23079908;CESAR CALS NETO EMEIEF;2.3
23080167;EDWIRGES SANTA EMEIEF;2.0
23080256;EVANDRO AYRES DE MOURA EMEF;2.7
23080299;FRANCISCO ANTONIO FONTENELE EMEIEF;2.6
23080302;FRANCISCO BARBOSA COMISSARIO EMEIEF;3.1
23080590;JOSE ASSIS DE OLIVEIRA EMEIEF;2.4
23080604;JATOBA EMEF;3.2
23080647;JOAQUIM AGUIAR EMEIEF;3.3
23080671;JOSE DE BORBA VASCONCELOS DR EMEF;2.3
23080698;JOSE MARIO BARBOSA EMEIEF;2.8
23080728;JOSE NOGUEIRA MOTA EMEIFE;2.3
23080809;LICEU DE MARACANAU EMEF;3.6
23080914;MARIA PEREIRA DA SILVA EMEF;1.9
23080949;MANOEL MOREIRA LIMA EMEIEF;2.4
23080957;MANOEL ROSEO LANDIM EMEF;2.3
23081171;ADAUTO FERREIRA LIMA EMEIEF;2.9
23081180;NAPOLEAO BONAPARTE VIANA EMEIEF;3.3
23081201;NORBERTO ALVES BATALHA EMEIEF;1.5
23081473;RODOLFO TEOFILO EMEF;3.0
23081490;RUI BARBOSA EMEF;2.4
23081600;TANCREDO NEVES PRESIDENTE EMEF;3.3
23081643;ULYSSES GUIMARAES DEPUTADO EMEF;2.9
23081660;VALDENIA ACELINO DA SILVA EMEF;3.6
23081856;LUIZ GONZAGA DOS SANTOS EMEF;2.6
23176962;MARIA DE LOURDES SILVA PROFª EMEF;2.3
23197137;SINFRONIO PEIXOTO DE MORAIS EMEIEF;2.6
23197145;JOSE MARTINS RODRIGUES DEPUTADO EMEIEF;2.9
23197170;RACHEL DE QUEIROZ EMEIEF;3.5
23197196;WALMIKI SAMPAIO DE ALBUQUERQUE EMEIEF;2.4
23197218;MANOEL RODRIGUES PINHEIRO DE MELO EMEIEF;1.6
23197269;PENSANDO E CONSTRUINDO EMEF;2.0
23197510;CONSTRUINDO O SABER EMEIEF;3.0
23206152;JULIO CESAR COSTA LIMA I EMEIEF;1.7
23206187;JOAO MAGALHAES DE OLIVEIRA EMEIEF;3.5
23226757;JOSE DANTAS SOBRINHO EMEF;3.1
23549009;ANA BEATRIZ MACEDO TAVARES MARQUES ESTUDANTE EMEF;1.9
