,IN_ESGOTO_REDE_PUBLICA,IN_AUDITORIO,IN_BIBLIOTECA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,QT_SALAS_UTILIZADAS,IN_EQUIP_LOUSA_DIGITAL,IN_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,IDE_Medio_EF
IN_ESGOTO_REDE_PUBLICA,1.0,0.2809757434745081,0.02227177015936872,0.19611613513818402,-0.02227177015936872,0.04684831991490159,0.10206207261596577,0.10744306187005075,0.1530931089239486,0.28723757454769544
IN_AUDITORIO,0.2809757434745081,1.0,-0.15018785229652767,-0.03673591791853224,-0.1001252348643518,-0.06727878998406335,0.0764719112901873,0.10566112966540293,0.11470786693528083,0.19939324850699033
IN_BIBLIOTECA,0.02227177015936872,-0.15018785229652767,1.0,0.24459979523511416,0.19047619047619038,0.19754945588881545,0.03636964837266538,0.014357683075131633,-0.08183170883849705,-0.12644054030181362
IN_LABORATORIO_CIENCIAS,0.19611613513818402,-0.03673591791853224,0.24459979523511416,1.0,-0.24459979523511416,0.17762908782893602,0.05337605126836239,-0.34767674768255813,-0.32025630761017426,0.12591841608805196
IN_LABORATORIO_INFORMATICA,-0.02227177015936872,-0.1001252348643518,0.19047619047619038,-0.24459979523511416,1.0,0.20589661599679351,-0.03636964837266536,0.41637280917881714,0.21821789023599247,0.06322027015090687
QT_SALAS_UTILIZADAS,0.04684831991490159,-0.06727878998406335,0.19754945588881545,0.17762908782893602,0.20589661599679351,1.0,-0.05100199071030063,-0.07466398287101647,0.2741357000678659,0.14195391387817774
IN_EQUIP_LOUSA_DIGITAL,0.10206207261596577,0.0764719112901873,0.03636964837266538,0.05337605126836239,-0.03636964837266536,-0.05100199071030063,1.0,-0.15352206215727976,0.2500000000000003,-0.12416214575232329
IN_DESKTOP_ALUNO,0.10744306187005075,0.10566112966540293,0.014357683075131633,-0.34767674768255813,0.41637280917881714,-0.07466398287101647,-0.15352206215727976,1.0,0.26318067798390743,0.1933393763859465
IN_COMP_PORTATIL_ALUNO,0.1530931089239486,0.11470786693528083,-0.08183170883849705,-0.32025630761017426,0.21821789023599247,0.2741357000678659,0.2500000000000003,0.26318067798390743,1.0,0.37248643725696984
IDE_Medio_EF,0.28723757454769544,0.19939324850699033,-0.12644054030181362,0.12591841608805196,0.06322027015090687,0.14195391387817774,-0.12416214575232329,0.1933393763859465,0.37248643725696984,1.0
